"Feature,Coefficient,Abs_Coefficient"
"MS Zoning_RM,0.04183888162484888,0.04183888162484888"
"Sale Condition_Family,-0.04170879175984846,0.04170879175984846"
"BsmtFin Type 2_BLQ,-0.04115760981430786,0.04115760981430786"
"Garage Cond_Ex,-0.04093253433161052,0.04093253433161052"
"BsmtFin Type 2_Unf,0.04091167498306987,0.04091167498306987"
"Bsmt Qual_None,0.04090068296695654,0.04090068296695654"
"BsmtFin Type 1_None,0.04090068296695654,0.04090068296695654"
"Bsmt Cond_None,0.04090068296695654,0.04090068296695654"
"Neighborhood_Somerst,0.04069728662843698,0.04069728662843698"
"Lot Area,0.04045162842142266,0.04045162842142266"
"Total Bsmt SF,0.040151591380586237,0.040151591380586237"
"Neighborhood_Landmrk,-0.03953645646588035,0.03953645646588035"
"Neighborhood_Veenker,-0.03915659836745211,0.03915659836745211"
"Heating_OthW,-0.039003040385216486,0.039003040385216486"
"Neighborhood_CollgCr,-0.03894547856288814,0.03894547856288814"
"Garage Qual_Fa,-0.038651263893707016,0.038651263893707016"
"MS SubClass_70,0.03826288913195006,0.03826288913195006"
"Lot Shape_IR3,-0.03719608559279469,0.03719608559279469"
"House Style_2.5Fin,-0.0368235898983808,0.0368235898983808"
"Sale Type_New,0.03667380265784084,0.03667380265784084"
"Exterior 1st_ImStucc,-0.03508214439951015,0.03508214439951015"
"Neighborhood_Sawyer,-0.03469223334271059,0.03469223334271059"
"BsmtFin Type 1_LwQ,-0.034684366393397746,0.034684366393397746"
"Neighborhood_BrDale,0.03458555268237835,0.03458555268237835"
"MS SubClass_80,-0.0342569337168079,0.0342569337168079"
"Exterior 1st_AsphShn,-0.03368017092998795,0.03368017092998795"
"BsmtFin Type 1_Rec,-0.03336973564737607,0.03336973564737607"
"Roof Style_Gable,0.032901936919684904,0.032901936919684904"
"Roof Style_Hip,0.032176841827543504,0.032176841827543504"
"Exterior 2nd_Other,-0.031650334603518335,0.031650334603518335"
"MS SubClass_75,0.03164503976114528,0.03164503976114528"
"Condition 1_Feedr,-0.030958540994470384,0.030958540994470384"
"Exterior 2nd_BrkFace,-0.030606788699660707,0.030606788699660707"
"Land Contour_Bnk,-0.030129431792327764,0.030129431792327764"
"Heating_GasA,0.03009113022404998,0.03009113022404998"
"Bsmt Exposure_Gd,0.030076985098090408,0.030076985098090408"
"Bsmt Qual_Gd,-0.029670419145695723,0.029670419145695723"
"Sale Type_ConLw,-0.029648853647951792,0.029648853647951792"
"Pool QC_None,0.02947874664994873,0.02947874664994873"
"Condition 1_RRAe,-0.029315099607324833,0.029315099607324833"
"Exterior 1st_Wd Sdng,-0.02882558416125379,0.02882558416125379"
"Electrical_SBrkr,-0.028699519302938764,0.028699519302938764"
"MS SubClass_50,0.02836834904889735,0.02836834904889735"
"Roof Style_Flat,0.027771312250606302,0.027771312250606302"
"Exterior 2nd_Stone,-0.027279099521626958,0.027279099521626958"
"MS SubClass_40,-0.027255256368458068,0.027255256368458068"
"Neighborhood_SWISU,-0.027248387258242617,0.027248387258242617"
"Garage Qual_TA,-0.027107619569689132,0.027107619569689132"
"Lot Config_CulDSac,0.027082551783865667,0.027082551783865667"
"Misc Feature_TenC,0.026952892972475113,0.026952892972475113"
"Sale Type_Oth,0.02663363916376977,0.02663363916376977"
"Neighborhood_Timber,-0.026615060145987482,0.026615060145987482"
"Garage Cond_TA,0.02661153904787708,0.02661153904787708"
"Bsmt Qual_TA,-0.026309713324361387,0.026309713324361387"
"BsmtFin Type 2_GLQ,0.02625307176531612,0.02625307176531612"
"BsmtFin Type 2_LwQ,-0.02624651268600542,0.02624651268600542"
"Garage Cond_Gd,0.026176773854174735,0.026176773854174735"
"BsmtFin Type 2_Rec,-0.026143954052422407,0.026143954052422407"
"Condition 2_Norm,0.025747287729264916,0.025747287729264916"
"Condition 1_RRNn,-0.025529065563051817,0.025529065563051817"
"Heating QC_TA,0.02550776348002669,0.02550776348002669"
"Lot Config_FR3,-0.025373654560453252,0.025373654560453252"
"MS SubClass_120,0.025141287511490105,0.025141287511490105"
"House Style_SFoyer,0.02461301967370317,0.02461301967370317"
"Condition 1_RRNe,0.024606890117395256,0.024606890117395256"
"Alley_Pave,0.024438011994871472,0.024438011994871472"
"Exterior 2nd_AsphShn,0.024379656496858297,0.024379656496858297"
"Bsmt Cond_Ex,-0.024281320949215333,0.024281320949215333"
"Foundation_Stone,0.02388548231263015,0.02388548231263015"
"Bsmt Exposure_Mn,-0.02277732233870244,0.02277732233870244"
"Bldg Type_2fmCon,0.02270667203759689,0.02270667203759689"
"BsmtFin SF 2,0.02269898443693014,0.02269898443693014"
"Bsmt Exposure_No,-0.022593389010576493,0.022593389010576493"
"House Style_SLvl,0.022155609911253402,0.022155609911253402"
"Garage Cars,0.022097416150837917,0.022097416150837917"
"BsmtFin Type 1_BLQ,-0.022033870728013452,0.022033870728013452"
"Electrical_FuseA,-0.021978144295026127,0.021978144295026127"
"Roof Style_Gambrel,-0.021754598860211898,0.021754598860211898"
"Land Slope_Sev,-0.02173197667166135,0.02173197667166135"
"Sale Condition_Partial,-0.021728013452723405,0.021728013452723405"
"Condition 1_Norm,0.02138428778459665,0.02138428778459665"
"BsmtFin Type 2_None,0.021239265879568703,0.021239265879568703"
"Exterior 1st_HdBoard,-0.021160875092661194,0.021160875092661194"
"Exter Qual_Fa,0.02104086158388071,0.02104086158388071"
"Bldg Type_Twnhs,-0.02097175768206396,0.02097175768206396"
"Land Contour_HLS,0.020519697683713468,0.020519697683713468"
"Lot Config_FR2,-0.020504466497121537,0.020504466497121537"
"MS SubClass_20,0.020335439744771908,0.020335439744771908"
"MS SubClass_90,-0.02025059812568342,0.02025059812568342"
"Bldg Type_Duplex,-0.02025059812568342,0.02025059812568342"
"Bldg Type_1Fam,0.01999651048150705,0.01999651048150705"
"Garage Type_Basment,0.01990435292669093,0.01990435292669093"
"Bsmt Cond_Po,0.019361970246761707,0.019361970246761707"
"Land Slope_Mod,0.018975465426320417,0.018975465426320417"
"Bsmt Cond_Fa,-0.018216392704440393,0.018216392704440393"
"House Style_1.5Fin,-0.01811825824321351,0.01811825824321351"
"Kitchen Qual_TA,-0.01767006974077952,0.01767006974077952"
"Exterior 2nd_Wd Sdng,0.017659756413164255,0.017659756413164255"
"Exter Qual_TA,-0.017632597320224493,0.017632597320224493"
"Exterior 2nd_Brk Cmn,-0.0176227453101082,0.0176227453101082"
"MS SubClass_85,0.017602431555374838,0.017602431555374838"
"Exterior 1st_Stucco,-0.01742241962449316,0.01742241962449316"
"Electrical_FuseF,-0.017363384712397723,0.017363384712397723"
"Exterior 1st_Stone,-0.017324096353824738,0.017324096353824738"
"Misc Val,-0.017242016437894594,0.017242016437894594"
"Neighborhood_ClearCr,-0.01721282637593982,0.01721282637593982"
"Kitchen Qual_Fa,-0.016975688619662296,0.016975688619662296"
"Sale Type_VWD,-0.016738770799986022,0.016738770799986022"
"Garage Type_Detchd,0.016435380501034724,0.016435380501034724"
"Bsmt Cond_TA,-0.0163965722185522,0.0163965722185522"
"Year Remod/Add,0.016276037911578955,0.016276037911578955"
"Heating QC_Fa,0.015773964353894807,0.015773964353894807"
"Utilities_NoSewr,-0.015450421986109391,0.015450421986109391"
"Garage Type_BuiltIn,0.015332946722514307,0.015332946722514307"
"Sale Type_ConLD,-0.015148442274255375,0.015148442274255375"
"Condition 1_RRAn,-0.014925672817640352,0.014925672817640352"
"Roof Style_Mansard,-0.014849505462610007,0.014849505462610007"
"Full Bath,0.014842399564110896,0.014842399564110896"
"Electrical_None,0.014839931059183976,0.014839931059183976"
"Bsmt Qual_Ex,0.014748847730087637,0.014748847730087637"
"MS SubClass_60,-0.014346774535052693,0.014346774535052693"
"Lot Shape_Reg,0.014072516651208235,0.014072516651208235"
"Fireplace Qu_Ex,0.014069355206530843,0.014069355206530843"
"Condition 2_Artery,0.013998760223710131,0.013998760223710131"
"Foundation_BrkTil,-0.013900647338927905,0.013900647338927905"
"Fireplaces,0.013792940918028771,0.013792940918028771"
"Exterior 1st_Plywood,-0.013791786720744312,0.013791786720744312"
"Paved Drive_Y,0.013658217992850247,0.013658217992850247"
"Alley_Grvl,-0.01354402511945842,0.01354402511945842"
"Lot Shape_IR2,0.013371783615988892,0.013371783615988892"
"Sale Type_COD,-0.012960161765594738,0.012960161765594738"
"Central Air_Y,0.012433871695217244,0.012433871695217244"
"Central Air_N,-0.012433871695196896,0.012433871695196896"
"MS SubClass_190,-0.012390183097717684,0.012390183097717684"
"Exterior 1st_WdShing,-0.012261432872650002,0.012261432872650002"
"House Style_1.5Unf,0.012196808101495024,0.012196808101495024"
"Bsmt Full Bath,0.012193160623475115,0.012193160623475115"
"Screen Porch,0.012153339895530687,0.012153339895530687"
"Kitchen Qual_Gd,-0.011778654031222665,0.011778654031222665"
"Bsmt Exposure_None,0.011635694722478149,0.011635694722478149"
"Land Contour_Lvl,0.011552819778159128,0.011552819778159128"
"Garage Type_Attchd,0.01134001081322499,0.01134001081322499"
