"Model,Year,MAE,R2"
"Ridge,2007,16382.851891852313,0.79628011087851"
"Neural Network,2007,40989.01353678855,-0.9281569420629898"
"Ridge,2008,14857.483499195974,0.7659420103288239"
"Neural Network,2008,35622.204349628206,-0.33430031761505186"
"Ridge,2009,13912.846880899035,0.9233266966228586"
"Neural Network,2009,20241.47035349152,0.866464634328099"
"Ridge,2010,14997.037153149771,0.9138291123987389"
"Neural Network,2010,17779.82156112536,0.8856648289916327"
